Country,Year,LifeExpectancyAtBirthMale,LifeExpectancyAtBirthFemale
Antigua and Barbuda,2019,74.9,78
Argentina,2019,73.5,79.5
Bahamas,2019,69.9,76.6
Barbados,2019,74.3,77.7
Belize,2019,71.4,77.8
Bolivia (Plurinational State of),2019,71.1,73.1
Brazil,2019,72.4,79.4
Canada,2019,80.4,84.1
Chile,2019,78.1,83.2
Colombia,2019,76.7,81.9
Costa Rica,2019,78.3,83.4
Cuba,2019,75.4,80.3
Dominican Republic,2019,69.8,76.2
Ecuador,2019,76.4,80.5
El Salvador,2019,70.6,79.1
Grenada,2019,70.6,75.3
Guatemala,2019,69,75
Guyana,2019,62.5,69.4
Haiti,2019,63.3,64.8
Honduras,2019,70.7,73.2
Jamaica,2019,74.4,77.7
Mexico,2019,73.1,78.9
Nicaragua,2019,72.1,77.9
Panama,2019,76.6,82.1
Paraguay,2019,73.1,78.8
Peru,2019,78.5,81.3
Saint Lucia,2019,71.3,77.7
Saint Vincent and the Grenadines,2019,71.3,75.3
Suriname,2019,68.5,74.6
Trinidad and Tobago,2019,72.5,79.9
United States of America,2019,76.3,80.7
Uruguay,2019,73.5,80.6
Venezuela (Bolivarian Republic of),2019,69.9,78.2
