Country,Year,LifeExpectancyAtBirthMale,LifeExpectancyAtBirthFemale
Albania,2019,76.3,79.9
Armenia,2019,72.5,79.2
Austria,2019,79.4,83.8
Azerbaijan,2019,68.8,74.1
Belarus,2019,69.7,79.6
Belgium,2019,79.3,83.5
Bosnia and Herzegovina,2019,74.4,79.1
Bulgaria,2019,71.6,78.6
Croatia,2019,75.5,81.6
Cyprus,2019,81.1,85.1
Czechia,2019,76.3,81.9
Denmark,2019,79.6,83
Estonia,2019,74.7,82.6
Finland,2019,79.2,84
France,2019,79.8,85.1
Georgia,2019,68.8,77.8
Germany,2019,78.7,84.8
Greece,2019,78.6,83.6
Hungary,2019,73.1,79.6
Iceland,2019,80.8,83.9
Ireland,2019,80.2,83.5
Israel,2019,80.8,84.4
Italy,2019,80.9,84.9
Kazakhstan,2019,70,77.6
Kyrgyzstan,2019,70.7,77.3
Latvia,2019,70.6,79.8
Lithuania,2019,71.2,80.4
Luxembourg,2019,80.6,84.2
Malta,2019,79.9,83.8
Montenegro,2019,73.2,78.7
Netherlands,2019,80.4,83.1
Norway,2019,81.1,84.1
Poland,2019,74.5,81.9
Portugal,2019,78.6,84.4
Republic of Moldova,2019,69.3,77.1
North Macedonia,2019,72.8,76.9
Romania,2019,72,79.3
Russian Federation,2019,68.2,78
Serbia,2019,73.5,78.3
Slovakia,2019,74.8,81.4
Slovenia,2019,78.6,84.1
Spain,2019,80.7,85.7
Sweden,2019,80.8,84
Switzerland,2019,81.8,85.1
Tajikistan,2019,67.6,71.5
Turkey,2019,76.4,80.7
Turkmenistan,2019,66.5,73
Ukraine,2019,68,77.8
United Kingdom of Great Britain and Northern Ireland,2019,79.8,83
Uzbekistan,2019,70.8,75.2
